icao;airport
EGDY;Royal Naval Air Station Yeovilton
EGEC;Campbeltown Airport / RAF Machrihanish
EGED;Eday Airport
EGEF;Fair Isle Airport
EGEH;Whalsay Airstrip
EGEI;Broadford Airfield
EGEN;North Ronaldsay Airport
EGEO;Oban Airport (North Connel Airport)
EGEP;Papa Westray Airport
EGER;Stronsay Airport
EGES;Sanday Airport
EGET;Tingwall Airport
EGEW;Westray Airport
EGFE;Haverfordwest Aerodrome
EGFF;Cardiff Airport
EGFH;Swansea Airport
EGGD;Bristol Airport
EGGP;Liverpool John Lennon Airport
EGGW;London Luton Airport
EGHC;Land's End Airport
EGHD;Plymouth City Airport
EGHE;St Mary's Airport
EGHH;Bournemouth Airport
EGHI;Southampton Airport
EGHJ;Bembridge Airport
EGHL;Lasham Airfield
EGHQ;Cornwall Airport Newquay
EGHR;Chichester/Goodwood Airport
EGJA;Alderney Airport
EGJB;Guernsey Airport
EGKA;Brighton City Airport
EGKB;London Biggin Hill Airport
EGKK;Gatwick Airport
EGKR;Redhill Aerodrome
EGLC;London City Airport
EGLF;Farnborough Airport
EGLK;Blackbushe Airport
EGLL;Heathrow Airport
EGMC;London Southend Airport
EGMD;Lydd Airport (London Ashford Airport)
EGMH;Manston Airport
EGNC;Carlisle Lake District Airport
EGNH;Blackpool Airport
EGNJ;Humberside Airport
EGNL;Barrow/Walney Island Airport
EGNM;Leeds Bradford Airport
EGNO;Warton Aerodrome
EGNR;Hawarden Airport (Chester Airport)
EGNS;Isle of Man Airport
EGNT;Newcastle Airport
EGNV;Teesside International Airport
EGNX;East Midlands Airport
EGOV;Anglesey Airport / RAF Valley
EGPA;Kirkwall Airport
EGPB;Sumburgh Airport
EGPC;Wick Airport
EGPD;Aberdeen Airport
EGPE;Inverness Airport
EGPF;Glasgow Airport
EGPH;Edinburgh Airport
EGPI;Islay Airport (Glenegedale Airport)
EGPK;Glasgow Prestwick Airport
EGPL;Benbecula Airport
EGPN;Dundee Airport
EGPO;Stornoway Airport
EGPR;Barra Airport
EGPT;Perth Airport (Scone Airport)
EGPU;Tiree Airport
EGPW;Baltasound Airport
EGQB;Ballykelly Airfield (RAF Ballykelly)
EGQK;RAF Kinloss
EGQL;RAF Leuchars
EGQS;RAF Lossiemouth
EGSC;Cambridge Airport
EGSH;Norwich International Airport
EGSS;London Stansted Airport
EGSU;Duxford Aerodrome
EGTB;Wycombe Air Park Airport
EGTE;Exeter International Airport
EGTG;Bristol Filton Airport
EGTK;Oxford Airport (London Oxford Airport)
EGTO;Rochester Airport
EGUB;RAF Benson
EGUL;RAF Lakenheath
EGUN;RAF Mildenhall
EGUY;RAF Wyton
EGVA;RAF Fairford
EGVN;RAF Brize Norton
EGVO;RAF Odiham
EGWU;RAF Northolt
EGXC;RAF Coningsby
EGXH;RAF Honington
EGXJ;RAF Cottesmore
EGXP;RAF Scampton
EGXU;RAF Linton-on-Ouse
EGXW;RAF Waddington
EGYM;RAF Marham
TGPY;Maurice Bishop International Airport
UGKO;David the Builder Kutaisi International Airport
UGSB;Batumi International Airport (Alexander Kartveli Batumi Int'l Airport)
UGSS;Sukhumi Babushara Airport (Dranda Airport)
UGTB;Tbilisi International Airport
SOCA;Cayenne - Felix Eboue Airport
SOGS;Grand-Santi Airport
SOOA;Maripasoula Airport
SOOG;Saint-Georges-de-l'Oyapock Airport
SOOM;Saint-Laurent-du-Maroni Airport
SOOR;Regina Airport
SOOS;Saul Airport
DGAA;Kotoka International Airport
DGLE;Tamale Airport
DGLW;Wa Airport
DGSI;Kumasi Airport
DGSN;Sunyani Airport
DGTK;Takoradi Airport
LXGB;Gibraltar International Airport (North Front Airport)
BGAA;Aasiaat Airport
BGBW;Narsarsuaq Airport
BGCH;Qasigiannguit Heliport
BGCO;Nerlerit Inaat Airport
BGGH;Nuuk Airport
BGJN;Ilulissat Airport
BGKK;Kulusuk Airport
BGMQ;Maniitsoq Airport
BGPT;Paamiut Airport
BGQQ;Qaanaaq Airport
BGSF;Kangerlussuaq Airport
BGSS;Sisimiut Airport
BGTL;Pituffik Space Base
BGUK;Upernavik Airport
BGUM;Uummannaq Heliport
BGUQ;Qaarsut Airport (Uummannaq/Qaarsut Airport)
GBYD;Banjul International Airport
GUCY;Ahmed Sékou Touré International Airport
GUFA;Fria Airport
GUFH;Faranah Airport
GUKU;Kissidougou Airport
GULB;Tata Airport
GUMA;Macenta Airport
GUNZ;Nzerekore Airport
GUOK;Boke Baralande Airport
GUSB;Sambailo Airport
GUSI;Siguiri Airport
GUXN;Kankan Airport (Diankana Airport)
TFFA;La Desirade Airport (Grande-Anse Airport)
TFFB;Baillif Airport
TFFC;Saint-Francois Airport
TFFM;Marie-Galante Airport (Les Bases)
TFFR;Pointe-a-Pitre International Airport (Le Raizet Airport)
TFFS;Les Saintes Airport
FGAB;Annobon Air
FGBT;Bata Airport
FGMY;President Obiang Nguema International Airport
FGSL;Malabo International Airport (Saint Isabel Airport)
LGAD;Andravida Air Base
LGAG;Agrinion Airport
LGAL;Alexandroupoli Airport (Dimokritos Airport)
LGAV;Athens International Airport (Eleftherios Venizelos Airport)
LGBL;Nea Anchialos National Airport
LGHI;Chios Island National Airport
LGHL;Porto Cheli Airport
LGIK;Ikaria Island National Airport
LGIO;Ioannina National Airport
LGIR;Heraklion International Airport (Nikos Kazantzakis Airport)
LGKA;Kastoria National Airport (Aristotelis Airport)
LGKC;Kithira Island National Airport
LGKF;Kefalonia International Airport
LGKJ;Kastellorizo Island Public Airport
LGKL;Kalamata International Airport
LGKO;Kos Island International Airport
LGKP;Karpathos Island National Airport
LGKR;Corfu International Airport (Ioannis Kapodistrias Int'l Airport)
LGKS;Kasos Island Public Airport
LGKV;Kavala International Airport (Alexander the Great Airport)
LGKY;Kalymnos Island National Airport
LGKZ;Kozani National Airport (Filippos Airport)
LGLE;Leros Municipal Airport
LGLM;Lemnos International Airport
LGLR;Larissa National Airport
LGMK;Mykonos Island National Airport
LGML;Milos Island National Airport
LGMT;Mytilene International Airport
LGNX;Naxos Island National Airport
LGPA;Paros National Airport
LGPL;Astypalaia Island National Airport
LGPZ;Aktion National Airport
LGRP;Rhodes International Airport
LGRX;Araxos Airport
LGSA;Chania International Airport
LGSK;Skiathos Island National Airport
LGSM;Samos International Airport
LGSO;Syros Island National Airport
LGSP;Sparti Airport
LGSR;Santorini (Thira) National Airport
LGST;Sitia Public Airport
LGSY;Skyros Island National Airport
LGTS;Thessaloniki Airport
LGZA;Zakynthos International Airport (Dionysios SolomosAirport)
MGCB;Coban Airport
MGCR;Carmelita Airport
MGCT;Coatepeque Airport
MGGT;La Aurora International Airport
MGHT;Huehuetenango Airport
MGPB;Puerto Barrios Airport
MGPG;Playa Grande Airport
MGPP;Poptun Airport
MGQC;Quiche Airport
MGQZ;Quetzaltenango Airport
MGRB;Rubelsanto Airport
MGRD;Rio Dulce Airport (Las Vegas Airport)
MGRT;Retalhuleu Airport
MGSJ;San Jose Airport
MGTK;Mundo Maya International Airport
PGUA;Andersen Air Force Base
PGUM;Antonio B. Won Pat International Airport (Guam Int'l)
GGBU;Bubaque Airport
GGOV;Osvaldo Vieira International Airport
SYAH;Aishalton Airport
SYAN;Annai Airport
SYBR;Baramita Airport
SYBT;Bartica Airport
SYCJ;Cheddi Jagan International Airport
SYGO;Eugene F. Correia International Airport
SYIB;Imbaimadai Airport
SYKA;Kaieteur International Airport
SYKM;Kamarang Airport
SYKR;Karanambo Airport
SYKS;Karasabai Airport
SYKT;Kato Airport
SYKZ;Konawaruk Airport
SYLP;Lumid Pau Airport
SYLT;Lethem Airport
SYMB;Mabaruma Airport
SYMD;Mahdia Airport
SYMK;Maikwak Airport
SYMM;Monkey Mountain Airport
SYMR;Matthews Ridge Airport
SYOR;Orinduik Airport
SYPR;Paruima Airport
SYSC;Sand Creek Airport
VHHH;Hong Kong International Airport (Chek Lap Kok Airport)
VHST;Hong Kong Shun Tak Sheung Wan Heliport
MHAH;Ahuas Airport
MHCS;Coyoles Airport
MHEA;El Arrayan Airport
MHGE;El Aguacate Airport
MHGS;Gracias Airport
MHIR;Iriona Airport
MHJU;Juticalpa Airport
MHLC;Goloson International Airport
MHLE;La Esperanza Airport
MHLM;Ramon Villeda Morales International Airport
MHMA;Marcala Airport
MHNJ;Guanaja Airport
MHPC;Palacios Airport
MHPL;Puerto Lempira Airport
MHRO;Juan Manuel Galvez International Airport
MHRU;Copan Ruinas Airport
MHSC;Soto Cano Air Base
MHSR;Santa Rosa de Copan Airport
MHTE;Tela Airport
MHTG;Toncontin International Airport
MHTJ;Trujillo Airport (Capiro Airport)
MHUL;Sulaco Airport
MHUT;Utila Airport
MHYR;Yoro Airport
LDDU;Dubrovnik Airport
LDLO;Losinj Airport
LDOS;Osijek Airport
LDPL;Pula Airport
LDRI;Rijeka Airport
LDSB;Bol Airport (Brac Airport)
LDSP;Split Airport
LDZA;Zagreb Airport
LDZD;Zadar Airport
MTCA;Antoine-Simon Airport
MTCH;Hugo Chavez International Airport
MTJA;Jacmel Airport
MTJE;Jeremie Airport
MTPP;Toussaint Louverture International Airport
MTPX;Port-de-Paix Airport
LHBP;Budapest Ferenc Liszt International Airport
LHDC;Debrecen International Airport
LHMC;Miskolc Airport
LHPP;Pecs-Pogany International Airport
LHSM;Heviz-Balaton Airport
WA44;Maranggo Airport
WAAA;Sultan Hasanuddin International Airport
WABB;Frans Kaisiepo Airport
WABD;Moanamani Airport
WABE;Ilu Airport
WABG;Waghete Airport
WABI;Nabire Airport
WABK;Karubaga Airport
WABL;Illaga Airport
WABN;Kokonao Airport
WABO;Serui Airport
WABP;Mozes Kilangin Airport
WABR;Obano Airport
WABT;Enarotali Airport
WABV;Bilogai Airport
WADA;Selaparang Airport
WADB;Sultan Muhammad Salahudin Airport (Bima Airport)
WADD;Ngurah Rai International Airport
WADL;Lombok International Airport
WADS;Sultan Muhammad Kaharuddin III Airport (Brangbiji Airport)
WADT;Tambolaka Airport (Waikabubak Airport)
WADU;Lunyuk Airport
WADW;Mau Hau Airport (Umbu Mehang Kunda Airport)
WADY;Blimbingsari Airport
WAEE;Sultan Babullah Airport
WAFF;Mutiara Airport
WAFJ;Tampa Padang Airport
WAGD;Tanjung Harapan Airport
WAGG;Tjilik Riwut Airport
WAHI;Yogyakarta International Airport
WAHL;Tunggul Wulung Airport
WAHP;Wirasaba Airport
WAJA;Arso Airport
WAJB;Bokondini Airport
WAJC;Dabra Airport
WAJE;Yuruf Airport
WAJG;Batom Airport
WAJI;Sarmi Orai Airport
WAJJ;Sentani Airport
WAJL;Lereh Airport
WAJM;Mulia Airport
WAJN;Elelim Airport
WAJO;Gunung Bintang Airport
WAJR;Waris Airport
WAJS;Senggeh Airport
WAJU;Ubrub Airport
WAKD;Mindiptana Airport
WAKE;Bade Airport
WAKK;Mopah Airport
WAKM;Kamur Airport
WAKO;Okaba Airport
WAKP;Kepi Airport
WAKQ;Senggo Airport
WAKT;Tanah Merah Airport
WALE;West Kutai Airport
WALJ;Datadawai Airport
WALK;Kalimarau Airport
WALL;Sultan Aji Muhammad Sulaiman Airport
WALM;Malinau Robbert Atty Bessing Airport
WALR;Juwata International Airport
WALS;APT Pranoto International Airport
WALT;Tanjung Santan Airport
WALV;Bunyu Airport
WAMA;Gamarmalamo Airport
WAMG;Jalaluddin Airport
WAMH;Naha Airport
WAMI;Sultan Bantilan Airport (Lalos Airport)
WAMJ;Gebe Airport
WAMK;Kao Airport
WAMM;Sam Ratulangi International Airport
WAMN;Melangguane Airport
WAMP;Kasiguncu Airport
WAMR;Pitu Airport
WAMW;Syukuran Aminuddin Amir Airport
WAMY;Pogogul Airport
WAOC;Batu Licin Airport
WAOI;Iskandar Airport
WAON;Warukin Airport
WAOO;Syamsudin Noor Airport
WAOS;H. Asan Airport
WAOW;Tumbang Samba Airport
WAPA;Amahai Airport
WAPC;Bandanaira Airport
WAPD;Dobo Airport
WAPE;Mangole Airport
WAPF;Karel Sadsuitubun Airport
WAPG;Namrole Airport
WAPH;Oesman Sadik Airport
WAPI;Saumlaki Airport (Olilit Airport)
WAPK;Benjina Airport (Nangasuri Airport)
WAPN;Sanana Airport
WAPP;Pattimura Airport
WAPR;Namlea Airport
WAPT;Taliabu Airport
WAPV;Wahai Airport
WARA;Abdul Rachman Saleh Airport
WARC;Ngloram Airport
WARE;Notohadinegoro Airport
WARQ;Adisumarmo International Airport
WARR;Juanda International Airport
WARS;Achmad Yani International Airport
WART;Trunojoyo Airport
WARW;Bawean Airport
WASA;Ayawasi Airport
WASB;Stenkol Airport
WASC;Abresso Airport
WASE;Kebar Airport
WASF;Fakfak Torea Airport
WASG;Anggi Airport
WASI;Inanwatan Airport
WASK;Kaimana Airport
WASM;Merdey Airport (Jahabra Airport)
WASN;Marinda Airport
WASO;Babo Airport
WASR;Rendani Airport
WASS;Dominique Edward Osok Airport
WAST;Teminabuan Airport
WASU;Kambuaya Airport
WASW;Wasior Airport
WATA;A.A. Bere Tallo Airport
WATC;Frans Seda Airport (Wai Oti Airport)
WATE;H. Hasan Aroeboesman Airport
WATG;Frans Sales Lega Airport
WATL;Gewayantana Airport
WATM;Alor Island Airport
WATO;Komodo Airport
WATR;David Constantijn Saudale Airport
WATS;Tardamu Airport
WATT;El Tari Airport
WATW;Wonopito Airport
WAVV;Wamena Airport
WAWB;Betoambari Airport
WAWM;Andi Jemma Airport
WAWP;Sangia Nibandera Airport
WAWP;Kolaka Pomala Airport
WAWR;Sugimanuru Airport
WAWS;Soroako Airport
WAWT;Pongtiku Airport
WAWW;Wolter Monginsidi Airport
WIAG;Gunung Batin Airport
WIBB;Sultan Syarif Kasim II International Airport
WIBD;Pinang Kampai Airport
WIBJ;Japura Airport
WIBR;Rokot Airport
WIBS;Sei Pakning Airport
WIBT;Sei Bati Airport
WICA;Kertajati International Airport
WICC;Husein Sastranegara International Airport
WICD;Penggung Airport (Cakrabuwana Airport)
WICM;Tasikmalaya Airport
WICN;Cijulang Nusawiru Airport
WIDD;Hang Nadim Airport
WIDE;Tuanku Tambusai Airport
WIDL;Letung Anambas Jemaja Island Airport
WIDN;Raja Haji Fisabilillah Airport
WIDS;Dabo Singkep Airport
WIHH;Halim Perdanakusuma International Airport
WIHP;Pondok Cabe Airport
WIIG;Panjang Island Airport
WIII;Soekarno–Hatta International Airport
WIIJ;Adisucipto International Airport
WIKD;H.A.S. Hanandjoeddin Airport (Buluh Tumbang Airport)
WILL;Radin Inten II Airport
WIMB;Binaka Airport
WIME;Aek Godang Airport
WIMK;Soewondo Air Force Base
WIMM;Kualanamu International Airport
WIMN;Silangit Airport
WIMP;Sibisa Airport
WIMS;Ferdinand Lumban Tobing Airport
WIOG;Nanga Pinoh Airport
WIOK;Rahadi Osman Airport (Ketapang Airport)
WIOM;Matak Airport (Tarempa Airport)
WION;Ranai Airport
WIOO;Supadio Airport
WIOP;Pangsuma Airport
WIOS;Sintang Airport (Susilo Airport)
WIPA;Sultan Thaha Airport
WIPB;Silampari Airport
WIPH;Depati Parbo Airport
WIPI;Muara Bungo Airport
WIPK;Depati Amir Airport
WIPL;Fatmawati Soekarno Airport
WIPP;Sultan Mahmud Badaruddin II International Airport
WIPQ;Pendopo Airport
WIPT;Minangkabau International Airport
WIPU;Muko-Muko Airport
WIPV;Keluang Airport
WITA;Teuku Cut Ali Airport
WITC;Cut Nyak Dhien Airport
WITL;Lhok Sukon Airport
WITM;Malikus Saleh Airport
WITN;Maimun Saleh Airport
WITT;Sultan Iskandar Muda International Airport
WRBK;Gusti Syamsir Alam Airport (Stagen Airport)
WRKB;Bajawa Soa Airport
WRLA;Sangkimah Airport
WRLB;Juvai Semaring Airport (Long Bawan Airport)
WRLC;PT Badak Bontang Airport
WRLF;Nunukan Airport
WRLH;Tanah Grogot Airport
WRLP;Long Apung Airport
EIBN;Bantry Aerodrome
EIBT;Belmullet Aerodrome
EICA;Connemara Airport
EICK;Cork Airport
EICM;Galway Airport
EIDL;Donegal Airport
EIDW;Dublin Airport
EIIM;Inishmore Aerodrome (Kilronan Airport)
EIIR;Inisheer Aerodrome
EIKK;Kilkenny Airport
EIKN;Ireland West Airport Knock
EIKY;Kerry Airport (Farranfore Airport)
EILT;Letterkenny Airfield
EIMN;Inishmaan Aerodrome
EINN;Shannon Airport
EISG;Sligo Airport
EIWF;Waterford Airport
LLBG;Ben Gurion Airport
LLBS;Beersheba Airport
LLER;Ramon Airport
LLET;J. Hozman Airport
LLEY;Ein Yahav Airfield
LLHA;Haifa Airport (Uri Michaeli Airport)
LLIB;Rosh Pina Airport
LLKS;Kiryat Shmona Airport
LLMR;Mitzpe Ramon Airport
LLMZ;Bar Yehuda Airfield (Masada Airfield)
LLNV;Nevatim Airbase
LLOV;Ovda Airport
LLSD;Sde Dov Airport
LLYT;Yotvata Airfield
OJJR;Atarot Airport (Jerusalem International Airport)
VAAH;Sardar Vallabhbhai Patel International Airport
VAAK;Akola Airport
VAAU;Aurangabad Airport (Chikkalthana Airport)
VABB;Chhatrapati Shivaji International Airport
VABJ;Bhuj Airport / Bhuj Rudra Mata Air Force Base
VABM;Belgaum Airport
VABO;Vadodara Airport (Civil Airport Harni)
VABP;Raja Bhoj Airport
VABV;Bhavnagar Airport
VADN;Daman Airport
VAGN;Guna Airport
VAHB;Hubli Airport
VAHS;Rajkot International Airport
VAID;Devi Ahilyabai Holkar International Airport
VAJB;Jabalpur Airport (Dumna Airport)
VAJL;Jalgaon Airport
VAJM;Jamnagar Airport (Govardhanpur Airport)
VAKE;Kandla Airport (Gandhidham Airport)
VAKJ;Civil Aerodrome Khajuraho
VAKP;Kolhapur Airport
VAKS;Keshod Airport
VALT;Latur Airport
VAND;Shri Guru Gobind Singh Ji Airport
VANP;Dr. Babasaheb Ambedkar International Airport
VAOZ;Nashik Airport
VAPO;Pune Airport
VAPR;Porbandar Airport
VARG;Ratnagiri Airport
VARK;Rajkot Airport
VARP;Swami Vivekananda Airport
VASL;Solapur Airport
VASU;Surat Airport
VAUD;Maharana Pratap Airport
VEAN;Along Airport
VEAT;Agartala Airport (Singerbhil Airport)
VEBD;Bagdogra Airport
VEBG;Balurghat Airport
VEBI;Shillong Airport (Barapani Airport)
VEBN;Lal Bahadur Shastri Airport
VEBS;Biju Patnaik International Airport
VEBU;Bilaspur Airport
VECC;Netaji Subhas Chandra Bose International Airport
VECO;Cooch Behar Airport
VEDB;Dhanbad Airport
VEDG;Kazi Nazrul Islam Airport
VEDH;Darbhanga Airport
VEDO;Deoghar Airport
VEDZ;Daporijo Airport
VEGK;Gorakhpur Airport
VEGT;Lokpriya Gopinath Bordoloi International Airport
VEGY;Gaya Airport (Bodhgaya Airport)
VEIM;Imphal International Airport (Tulihal Airport)
VEJH;Veer Surendra Sai Jharsuguda Airport
VEJP;Jeypore Airport
VEJS;Sonari Airport
VEJT;Jorhat Airport (Rowriah Airport)
VEKM;Kamalpur Airport
VEKR;Kailashahar Airport
VEKU;Silchar Airport (Kumbhirgram Air Force Base)
VEKW;Khowai Airport
VELP;Lengpui Airport
VELR;Lilabari Airport
VEMH;Malda Airport
VEMN;Dibrugarh Airport (Mohanbari Airport)
VEMR;Dimapur Airport
VEMZ;Muzaffarpur Airport
VEPG;Pasighat Airport
VEPT;Lok Nayak Jayaprakash Airport
VERC;Birsa Munda Airport
VERK;Rourkela Airport
VERU;Rupsi Airport
VETJ;Tezu Airport
VETZ;Tezpur Airport
VEUK;Utkela Airport
VEVZ;Visakhapatnam Airport
VEZO;Zero Airport (Ziro Airport)
VIAG;Agra Airport
VIAL;Allahabad Airport (Bamrauli Air Force Base)
VIAR;Sri Guru Ram Dass Jee International Airport
VIAX;Adampur Airport
VIBK;Nal Airport
VIBR;Bhuntar Airport (Kullu Manali Airport)
VIBT;Bathinda Airport (Bhisiana Air Force Station)
VIBY;Bareilly Airport
VICG;Chandigarh Airport
VIDN;Jolly Grant Airport
VIDP;Indira Gandhi International Airport
VIDX;Ghaziabad Hindon Airport
VIGG;Gaggal Airport
VIGR;Rajmata Vijaya Raje Scindia Airport (Gwalior Airport)
VIHR;Hisar Airport
VIJO;Jodhpur Airport
VIJP;Jaipur International Airport
VIJR;Jaisalmer Airport
VIJU;Jammu Airport (Satwari Airport)
VIKA;Kanpur Airport (Chakeri Air Force Station)
VIKG;Ajmer Kishangarh Airport
VIKO;Kota Airport
VILD;Sahnewal Airport (Ludhiana Airport)
VILH;Kushok Bakula Rimpochee Airport
VILK;Chaudhary Charan Singh International Airport
VIPK;Pathankot Airport
VIPT;Pantnagar Airport
VISM;Shimla Airport
VISR;Sheikh ul Alam International Airport
VIST;Satna Airport
VOAT;Agatti Aerodrome
VOBI;Bellary Airport
VOBL;Kempegowda International Airport
VOBZ;Vijayawada Airport
VOCB;Coimbatore International Airport
VOCI;Cochin International Airport (Nedumbassery Airport)
VOCL;Calicut International Airport
VOCP;Kadapa Airport
VOCX;Car Nicobar Air Force Base
VOGA;Manohar International Airport (Goa)
VOGO;Goa International Airport (Dabolim Airport)
VOHS;Rajiv Gandhi International Airport
VOHY;Begumpet Airport
VOJV;Vidyanagar Airport (Jindal Airport)
VOKN;Kannur International Airport
VOKU;Kurnool Airport
VOMD;Madurai Airport
VOML;Mangalore Airport
VOMM;Chennai International Airport
VOMY;Mysore Airport (Mandakalli Airport)
VONV;Neyveli Airport
VOPB;Veer Savarkar International Airport (Port Blair Airport)
VOPC;Puducherry Airport
VOPN;Sri Sathya Sai Airport
VORG;Ramagundam Airport (Basanth Nagar Airport)
VORY;Rajahmundry Airport
VOSM;Salem Airport
VOTJ;Thanjavur Air Force Station
VOTK;Tuticorin Airport
VOTP;Tirupati Airport
VOTR;Tiruchirappalli International Airport
VOTV;Trivandrum International Airport
VOWA;Warangal Airport
ORAA;Al Asad Airbase
ORAT;Al-Taqaddum Air Base
ORBB;Bamarni Airport
ORBI;Baghdad International Airport
ORBM;Mosul International Airport
ORER;Erbil International Airport
ORKK;Kirkuk Airport
ORMM;Basra International Airport
ORNI;Al Najaf International Airport
ORSU;Sulaimaniyah International Airport
FMNA;Arrachart Airport
FMND;Andapa Airport
FMNE;Ambilobe Airport
FMNH;Antsirabato Airport
FMNJ;Ambanja Airport
FMNN;Fascene Airport
FMNS;Sambava Airport
FMNV;Vohemar Airport
LATI;Tirana International Airport
OIAA;Abadan International Airport
OIAD;Dezful Airport
OIAG;Aghajari Airport
OIAH;Gachsaran Airport
OIAJ;Omidiyeh Air Base
OIAM;Mahshahr Airport
OIAW;Ahvaz International Airport
OIBA;Abu Musa Airport
OIBB;Bushehr Airport
OIBH;Bahregan Airport
OIBJ;Jam Airport
OIBK;Kish International Airport
OIBL;Bandar Lengeh Airport
OIBP;Persian Gulf Airport
OIBQ;Kharg Airport
OIBS;Sirri Island Airport
OIBV;Lavan Airport
OICC;Shahid Ashrafi Esfahani Airport (Kermanshah Airport)
OICI;Ilam Airport
OICK;Khorramabad Airport
OICS;Sanandaj Airport
OIFE;Hesa Air Base
OIFK;Kashan Airport
OIFM;Isfahan International Airport (Shahid Beheshti Int'l)
OIFS;Shahrekord Airport
OIGG;Rasht Airport
OIHH;Hamadan Airport
OIHR;Arak Airport
OIHS;Hamedan Air Base (Nogeh Airport)
OIIE;Imam Khomeini International Airport
OIII;Mehrabad International Airport
OIIK;Qazvin Airport
OIIP;Payam International Airport
OIIS;Semnan Municipal Airport
